2017-05-22 17:48:46 ===== Starting: DragonExperiment =====
2017-05-22 17:48:46 Reading DragonExperiment-old.dat...
2017-05-22 17:48:46 Backup done.
2017-05-22 17:48:46 Samples = 1; Results = 0; Mismatches = 0.
2017-05-22 18:41:37 id = 0 (cpu1); Seed = 16; Done (1)
2017-05-22 18:41:37 id = 0 (cpu1); Seed = 17; Starting new sample
2017-05-22 18:41:41 id = 0 (cpu1); Seed = 17; Done (0)
2017-05-22 18:41:41 id = 0 (cpu1); Seed = 18; Starting new sample
2017-05-22 18:41:53 id = 0 (cpu1); Seed = 18; Done (1)
2017-05-22 18:41:53 id = 0 (cpu1); Seed = 19; Starting new sample
2017-05-22 18:42:01 id = 0 (cpu1); Seed = 19; Done (0)
2017-05-22 18:42:01 id = 0 (cpu1); Seed = 20; Starting new sample
2017-05-22 18:42:02 id = 0 (cpu1); Seed = 20; Done (1)
2017-05-22 18:42:02 id = 0 (cpu1); Seed = 21; Starting new sample
2017-05-22 18:42:09 id = 0 (cpu1); Seed = 21; Done (1)
2017-05-22 18:42:09 id = 0 (cpu1); Seed = 22; Starting new sample
2017-05-22 18:42:18 id = 0 (cpu1); Seed = 22; Done (1)
2017-05-22 18:42:18 id = 0 (cpu1); Seed = 23; Starting new sample
2017-05-22 18:42:22 id = 0 (cpu1); Seed = 23; Done (0)
2017-05-22 18:42:22 id = 0 (cpu1); Seed = 24; Starting new sample
2017-05-22 18:42:25 id = 0 (cpu1); Seed = 24; Done (0)
2017-05-22 18:42:25 id = 0 (cpu1); Seed = 25; Starting new sample
2017-05-22 18:42:27 id = 0 (cpu1); Seed = 25; Done (0)
2017-05-22 18:42:27 id = 0 (cpu1); Seed = 26; Starting new sample
2017-05-22 18:42:30 id = 0 (cpu1); Seed = 26; Done (1)
2017-05-22 18:42:30 id = 0 (cpu1); Seed = 27; Starting new sample
2017-05-22 18:42:37 id = 0 (cpu1); Seed = 27; Done (0)
2017-05-22 18:42:37 id = 0 (cpu1); Seed = 28; Starting new sample
2017-05-22 18:42:40 id = 0 (cpu1); Seed = 28; Done (0)
2017-05-22 18:42:40 id = 0 (cpu1); Seed = 29; Starting new sample
2017-05-22 18:42:47 id = 0 (cpu1); Seed = 29; Done (1)
2017-05-22 18:42:47 id = 0 (cpu1); Seed = 30; Starting new sample
2017-05-22 18:42:50 id = 0 (cpu1); Seed = 30; Done (0)
2017-05-22 18:42:50 id = 0 (cpu1); Seed = 31; Starting new sample
2017-05-22 18:42:55 id = 0 (cpu1); Seed = 31; Done (0)
2017-05-22 18:42:55 id = 0 (cpu1); Seed = 32; Starting new sample
2017-05-22 18:42:56 id = 0 (cpu1); Seed = 32; Done (0)
2017-05-22 18:42:56 id = 0 (cpu1); Seed = 33; Starting new sample
2017-05-22 18:43:00 id = 0 (cpu1); Seed = 33; Done (2)
2017-05-22 18:43:00 id = 0 (cpu1); Seed = 34; Starting new sample
2017-05-22 18:43:02 id = 0 (cpu1); Seed = 34; Done (0)
2017-05-22 18:43:02 id = 0 (cpu1); Seed = 35; Starting new sample
2017-05-22 18:43:12 id = 0 (cpu1); Seed = 35; Done (0)
2017-05-22 18:43:12 id = 0 (cpu1); Seed = 36; Starting new sample
2017-05-22 18:43:18 id = 0 (cpu1); Seed = 36; Done (0)
2017-05-22 18:43:18 id = 0 (cpu1); Seed = 37; Starting new sample
2017-05-22 18:43:25 id = 0 (cpu1); Seed = 37; Done (2)
2017-05-22 18:43:25 id = 0 (cpu1); Seed = 38; Starting new sample
2017-05-22 18:43:26 id = 0 (cpu1); Seed = 38; Done (2)
2017-05-22 18:43:26 id = 0 (cpu1); Seed = 39; Starting new sample
2017-05-22 18:43:29 id = 0 (cpu1); Seed = 39; Done (1)
2017-05-22 18:43:29 id = 0 (cpu1); Seed = 40; Starting new sample
2017-05-22 18:43:34 id = 0 (cpu1); Seed = 40; Done (0)
2017-05-22 18:43:34 id = 0 (cpu1); Seed = 41; Starting new sample
2017-05-22 18:43:40 id = 0 (cpu1); Seed = 41; Done (0)
2017-05-22 18:43:40 id = 0 (cpu1); Seed = 42; Starting new sample
2017-05-22 18:43:47 id = 0 (cpu1); Seed = 42; Done (0)
2017-05-22 18:43:47 id = 0 (cpu1); Seed = 43; Starting new sample
2017-05-22 18:43:52 id = 0 (cpu1); Seed = 43; Done (0)
2017-05-22 18:43:52 id = 0 (cpu1); Seed = 44; Starting new sample
2017-05-22 18:43:54 id = 0 (cpu1); Seed = 44; Done (2)
2017-05-22 18:43:54 id = 0 (cpu1); Seed = 45; Starting new sample
2017-05-22 18:43:57 id = 0 (cpu1); Seed = 45; Done (0)
2017-05-22 18:43:57 id = 0 (cpu1); Seed = 46; Starting new sample
2017-05-22 18:44:02 id = 0 (cpu1); Seed = 46; Done (1)
2017-05-22 18:44:02 id = 0 (cpu1); Seed = 47; Starting new sample
2017-05-22 18:44:05 id = 0 (cpu1); Seed = 47; Done (1)
2017-05-22 18:44:05 id = 0 (cpu1); Seed = 48; Starting new sample
2017-05-22 18:44:07 id = 0 (cpu1); Seed = 48; Done (0)
2017-05-22 18:44:07 id = 0 (cpu1); Seed = 49; Starting new sample
2017-05-22 18:44:12 id = 0 (cpu1); Seed = 49; Done (2)
2017-05-22 18:44:12 id = 0 (cpu1); Seed = 50; Starting new sample
2017-05-22 18:44:15 id = 0 (cpu1); Seed = 50; Done (1)
2017-05-22 18:44:15 id = 0 (cpu1); Seed = 51; Starting new sample
2017-05-22 18:44:17 id = 0 (cpu1); Seed = 51; Done (2)
2017-05-22 18:44:17 id = 0 (cpu1); Seed = 52; Starting new sample
2017-05-22 18:44:23 id = 0 (cpu1); Seed = 52; Done (1)
2017-05-22 18:44:23 id = 0 (cpu1); Seed = 53; Starting new sample
2017-05-22 18:44:28 id = 0 (cpu1); Seed = 53; Done (0)
2017-05-22 18:44:28 id = 0 (cpu1); Seed = 54; Starting new sample
2017-05-22 18:44:38 id = 0 (cpu1); Seed = 54; Done (0)
2017-05-22 18:44:38 id = 0 (cpu1); Seed = 55; Starting new sample
2017-05-22 18:44:40 id = 0 (cpu1); Seed = 55; Done (1)
2017-05-22 18:44:40 id = 0 (cpu1); Seed = 56; Starting new sample
2017-05-22 18:44:50 id = 0 (cpu1); Seed = 56; Done (0)
2017-05-22 18:44:50 id = 0 (cpu1); Seed = 57; Starting new sample
2017-05-22 18:44:58 id = 0 (cpu1); Seed = 57; Done (0)
2017-05-22 18:44:58 id = 0 (cpu1); Seed = 58; Starting new sample
2017-05-22 18:45:03 id = 0 (cpu1); Seed = 58; Done (0)
2017-05-22 18:45:03 id = 0 (cpu1); Seed = 59; Starting new sample
2017-05-22 18:45:09 id = 0 (cpu1); Seed = 59; Done (0)
2017-05-22 18:45:09 id = 0 (cpu1); Seed = 60; Starting new sample
2017-05-22 18:45:17 id = 0 (cpu1); Seed = 60; Done (0)
2017-05-22 18:45:17 id = 0 (cpu1); Seed = 61; Starting new sample
2017-05-22 18:45:25 id = 0 (cpu1); Seed = 61; Done (0)
2017-05-22 18:45:25 id = 0 (cpu1); Seed = 62; Starting new sample
2017-05-22 18:45:32 id = 0 (cpu1); Seed = 62; Done (0)
2017-05-22 18:45:32 id = 0 (cpu1); Seed = 63; Starting new sample
2017-05-22 18:45:41 id = 0 (cpu1); Seed = 63; Done (2)
2017-05-22 18:45:41 id = 0 (cpu1); Seed = 64; Starting new sample
2017-05-22 18:45:45 id = 0 (cpu1); Seed = 64; Done (2)
2017-05-22 18:45:45 id = 0 (cpu1); Seed = 65; Starting new sample
2017-05-22 18:45:46 id = 0 (cpu1); Seed = 65; Done (1)
2017-05-22 18:45:46 id = 0 (cpu1); Seed = 66; Starting new sample
2017-05-22 18:45:51 id = 0 (cpu1); Seed = 66; Done (2)
2017-05-22 18:45:51 id = 0 (cpu1); Seed = 67; Starting new sample
2017-05-22 18:45:55 id = 0 (cpu1); Seed = 67; Done (0)
2017-05-22 18:45:55 id = 0 (cpu1); Seed = 68; Starting new sample
2017-05-22 18:45:57 id = 0 (cpu1); Seed = 68; Done (2)
2017-05-22 18:45:57 id = 0 (cpu1); Seed = 69; Starting new sample
2017-05-22 18:46:08 id = 0 (cpu1); Seed = 69; Done (1)
2017-05-22 18:46:08 id = 0 (cpu1); Seed = 70; Starting new sample
2017-05-22 18:46:11 id = 0 (cpu1); Seed = 70; Done (1)
2017-05-22 18:46:11 id = 0 (cpu1); Seed = 71; Starting new sample
2017-05-22 18:46:22 id = 0 (cpu1); Seed = 71; Done (2)
2017-05-22 18:46:22 id = 0 (cpu1); Seed = 72; Starting new sample
2017-05-22 18:46:29 id = 0 (cpu1); Seed = 72; Done (0)
2017-05-22 18:46:29 id = 0 (cpu1); Seed = 73; Starting new sample
2017-05-22 18:46:34 id = 0 (cpu1); Seed = 73; Done (0)
2017-05-22 18:46:34 id = 0 (cpu1); Seed = 74; Starting new sample
2017-05-22 18:46:39 id = 0 (cpu1); Seed = 74; Done (0)
2017-05-22 18:46:39 id = 0 (cpu1); Seed = 75; Starting new sample
2017-05-22 18:46:46 id = 0 (cpu1); Seed = 75; Done (0)
2017-05-22 18:46:46 id = 0 (cpu1); Seed = 76; Starting new sample
2017-05-22 18:46:51 id = 0 (cpu1); Seed = 76; Done (0)
2017-05-22 18:46:51 id = 0 (cpu1); Seed = 77; Starting new sample
2017-05-22 18:47:02 id = 0 (cpu1); Seed = 77; Done (0)
2017-05-22 18:47:02 id = 0 (cpu1); Seed = 78; Starting new sample
2017-05-22 18:47:04 id = 0 (cpu1); Seed = 78; Done (0)
2017-05-22 18:47:04 id = 0 (cpu1); Seed = 79; Starting new sample
2017-05-22 18:47:07 id = 0 (cpu1); Seed = 79; Done (0)
2017-05-22 18:47:07 id = 0 (cpu1); Seed = 80; Starting new sample
2017-05-22 18:47:09 id = 0 (cpu1); Seed = 80; Done (0)
2017-05-22 18:47:09 id = 0 (cpu1); Seed = 81; Starting new sample
2017-05-22 18:47:09 id = 0 (cpu1); Seed = 81; Done (0)
2017-05-22 18:47:09 id = 0 (cpu1); Seed = 82; Starting new sample
2017-05-22 18:47:17 id = 0 (cpu1); Seed = 82; Done (2)
2017-05-22 18:47:17 id = 0 (cpu1); Seed = 83; Starting new sample
2017-05-22 18:47:25 id = 0 (cpu1); Seed = 83; Done (1)
2017-05-22 18:47:25 id = 0 (cpu1); Seed = 84; Starting new sample
2017-05-22 18:47:30 id = 0 (cpu1); Seed = 84; Done (0)
2017-05-22 18:47:30 id = 0 (cpu1); Seed = 85; Starting new sample
2017-05-22 18:47:32 id = 0 (cpu1); Seed = 85; Done (1)
2017-05-22 18:47:32 id = 0 (cpu1); Seed = 86; Starting new sample
2017-05-22 18:47:36 id = 0 (cpu1); Seed = 86; Done (1)
2017-05-22 18:47:36 id = 0 (cpu1); Seed = 87; Starting new sample
2017-05-22 18:47:38 id = 0 (cpu1); Seed = 87; Done (0)
2017-05-22 18:47:38 id = 0 (cpu1); Seed = 88; Starting new sample
2017-05-22 18:47:42 id = 0 (cpu1); Seed = 88; Done (2)
2017-05-22 18:47:42 id = 0 (cpu1); Seed = 89; Starting new sample
2017-05-22 18:47:45 id = 0 (cpu1); Seed = 89; Done (2)
2017-05-22 18:47:45 id = 0 (cpu1); Seed = 90; Starting new sample
2017-05-22 18:47:50 id = 0 (cpu1); Seed = 90; Done (0)
2017-05-22 18:47:50 id = 0 (cpu1); Seed = 91; Starting new sample
2017-05-22 18:47:59 id = 0 (cpu1); Seed = 91; Done (0)
2017-05-22 18:47:59 id = 0 (cpu1); Seed = 92; Starting new sample
2017-05-22 18:48:05 id = 0 (cpu1); Seed = 92; Done (0)
2017-05-22 18:48:05 id = 0 (cpu1); Seed = 93; Starting new sample
2017-05-22 18:48:10 id = 0 (cpu1); Seed = 93; Done (0)
2017-05-22 18:48:10 id = 0 (cpu1); Seed = 94; Starting new sample
2017-05-22 18:48:20 id = 0 (cpu1); Seed = 94; Done (0)
2017-05-22 18:48:20 id = 0 (cpu1); Seed = 95; Starting new sample
2017-05-22 18:48:25 id = 0 (cpu1); Seed = 95; Done (1)
2017-05-22 18:48:25 id = 0 (cpu1); Seed = 96; Starting new sample
2017-05-22 18:48:34 id = 0 (cpu1); Seed = 96; Done (2)
2017-05-22 18:48:34 id = 0 (cpu1); Seed = 97; Starting new sample
2017-05-22 18:48:39 id = 0 (cpu1); Seed = 97; Done (1)
2017-05-22 18:48:39 id = 0 (cpu1); Seed = 98; Starting new sample
2017-05-22 18:48:45 id = 0 (cpu1); Seed = 98; Done (0)
2017-05-22 18:48:45 id = 0 (cpu1); Seed = 99; Starting new sample
2017-05-22 18:48:47 id = 0 (cpu1); Seed = 99; Done (0)
2017-05-22 18:48:47 id = 0 (cpu1); Seed = 100; Starting new sample
2017-05-22 18:48:53 id = 0 (cpu1); Seed = 100; Done (0)
2017-05-22 18:48:53 id = 0 (cpu1); Seed = 101; Starting new sample
2017-05-22 18:49:01 id = 0 (cpu1); Seed = 101; Done (1)
2017-05-22 18:49:01 id = 0 (cpu1); Seed = 102; Starting new sample
2017-05-22 18:49:06 id = 0 (cpu1); Seed = 102; Done (1)
2017-05-22 18:49:06 id = 0 (cpu1); Seed = 103; Starting new sample
2017-05-22 18:49:13 id = 0 (cpu1); Seed = 103; Done (0)
2017-05-22 18:49:13 id = 0 (cpu1); Seed = 104; Starting new sample
2017-05-22 18:49:18 id = 0 (cpu1); Seed = 104; Done (0)
2017-05-22 18:49:18 id = 0 (cpu1); Seed = 105; Starting new sample
2017-05-22 18:49:31 id = 0 (cpu1); Seed = 105; Done (1)
2017-05-22 18:49:31 id = 0 (cpu1); Seed = 106; Starting new sample
2017-05-22 18:49:37 id = 0 (cpu1); Seed = 106; Done (1)
2017-05-22 18:49:37 id = 0 (cpu1); Seed = 107; Starting new sample
2017-05-22 18:49:40 id = 0 (cpu1); Seed = 107; Done (0)
2017-05-22 18:49:40 id = 0 (cpu1); Seed = 108; Starting new sample
2017-05-22 18:49:49 id = 0 (cpu1); Seed = 108; Done (0)
2017-05-22 18:49:49 id = 0 (cpu1); Seed = 109; Starting new sample
2017-05-22 18:49:49 id = 0 (cpu1); Seed = 109; Done (0)
2017-05-22 18:49:49 id = 0 (cpu1); Seed = 110; Starting new sample
2017-05-22 18:49:56 id = 0 (cpu1); Seed = 110; Done (1)
2017-05-22 18:49:56 id = 0 (cpu1); Seed = 111; Starting new sample
2017-05-22 18:49:59 id = 0 (cpu1); Seed = 111; Done (2)
2017-05-22 18:49:59 id = 0 (cpu1); Seed = 112; Starting new sample
2017-05-22 18:50:03 id = 0 (cpu1); Seed = 112; Done (0)
2017-05-22 18:50:03 id = 0 (cpu1); Seed = 113; Starting new sample
2017-05-22 18:50:05 id = 0 (cpu1); Seed = 113; Done (2)
2017-05-22 18:50:05 id = 0 (cpu1); Seed = 114; Starting new sample
2017-05-22 18:50:11 id = 0 (cpu1); Seed = 114; Done (2)
2017-05-22 18:50:11 id = 0 (cpu1); Seed = 115; Starting new sample
2017-05-22 18:50:19 id = 0 (cpu1); Seed = 115; Done (1)
2017-05-22 18:50:19 id = 0 (cpu1); Seed = 116; Starting new sample
2017-05-22 18:50:31 id = 0 (cpu1); Seed = 116; Done (0)
2017-05-22 18:50:31 id = 0 (cpu1); Seed = 117; Starting new sample
2017-05-22 18:50:35 id = 0 (cpu1); Seed = 117; Done (0)
2017-05-22 18:50:35 id = 0 (cpu1); Seed = 118; Starting new sample
2017-05-22 18:50:43 id = 0 (cpu1); Seed = 118; Done (0)
2017-05-22 18:50:43 id = 0 (cpu1); Seed = 119; Starting new sample
2017-05-22 18:50:47 id = 0 (cpu1); Seed = 119; Done (2)
2017-05-22 18:50:47 id = 0 (cpu1); Seed = 120; Starting new sample
2017-05-22 18:50:56 id = 0 (cpu1); Seed = 120; Done (2)
2017-05-22 18:50:56 id = 0 (cpu1); Seed = 121; Starting new sample
2017-05-22 18:51:05 id = 0 (cpu1); Seed = 121; Done (1)
2017-05-22 18:51:05 id = 0 (cpu1); Seed = 122; Starting new sample
2017-05-22 18:51:11 id = 0 (cpu1); Seed = 122; Done (0)
2017-05-22 18:51:11 id = 0 (cpu1); Seed = 123; Starting new sample
2017-05-22 18:51:21 id = 0 (cpu1); Seed = 123; Done (1)
2017-05-22 18:51:21 id = 0 (cpu1); Seed = 124; Starting new sample
2017-05-22 18:51:29 id = 0 (cpu1); Seed = 124; Done (0)
2017-05-22 18:51:29 id = 0 (cpu1); Seed = 125; Starting new sample
2017-05-22 18:51:37 id = 0 (cpu1); Seed = 125; Done (2)
2017-05-22 18:51:37 id = 0 (cpu1); Seed = 126; Starting new sample
2017-05-22 18:51:49 id = 0 (cpu1); Seed = 126; Done (0)
2017-05-22 18:51:49 id = 0 (cpu1); Seed = 127; Starting new sample
2017-05-22 18:51:55 id = 0 (cpu1); Seed = 127; Done (0)
2017-05-22 18:51:55 id = 0 (cpu1); Seed = 128; Starting new sample
2017-05-22 18:52:00 id = 0 (cpu1); Seed = 128; Done (0)
2017-05-22 18:52:00 id = 0 (cpu1); Seed = 129; Starting new sample
2017-05-22 18:52:03 id = 0 (cpu1); Seed = 129; Done (1)
2017-05-22 18:52:03 id = 0 (cpu1); Seed = 130; Starting new sample
2017-05-22 18:52:09 id = 0 (cpu1); Seed = 130; Done (0)
2017-05-22 18:52:09 id = 0 (cpu1); Seed = 131; Starting new sample
2017-05-22 18:52:11 id = 0 (cpu1); Seed = 131; Done (1)
2017-05-22 18:52:11 id = 0 (cpu1); Seed = 132; Starting new sample
2017-05-22 18:52:17 id = 0 (cpu1); Seed = 132; Done (2)
2017-05-22 18:52:17 id = 0 (cpu1); Seed = 133; Starting new sample
2017-05-22 18:52:23 id = 0 (cpu1); Seed = 133; Done (0)
2017-05-22 18:52:23 id = 0 (cpu1); Seed = 134; Starting new sample
2017-05-22 18:52:26 id = 0 (cpu1); Seed = 134; Done (0)
2017-05-22 18:52:26 id = 0 (cpu1); Seed = 135; Starting new sample
